Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.28     92.62     0.28                             collision (d2q9-bgk.c:358 @ 4027b1)
  0.28     92.89     0.27                             collision (d2q9-bgk.c:348 @ 402709)
  0.26     93.14     0.25                             collision (d2q9-bgk.c:377 @ 402ab7)
  0.26     93.39     0.25                             collision (d2q9-bgk.c:375 @ 402ad6)
  0.26     93.64     0.25                             propagate (d2q9-bgk.c:246 @ 401bdc)
  0.25     93.88     0.24                             collision (d2q9-bgk.c:372 @ 402a58)
  0.24     94.11     0.23                             rebound (d2q9-bgk.c:271 @ 401fa3)
  0.22     94.32     0.22                             propagate (d2q9-bgk.c:247 @ 401bf8)
  0.22     94.53     0.21                             rebound (d2q9-bgk.c:278 @ 401fd8)
  0.20     94.73     0.20                             collision (d2q9-bgk.c:346 @ 4026e0)
  0.19     94.92     0.19                             av_velocity (d2q9-bgk.c:407 @ 402fbb)
  0.19     95.11     0.19                             propagate (d2q9-bgk.c:240 @ 401f57)
  0.17     95.28     0.17                             collision (d2q9-bgk.c:331 @ 40265e)
  0.17     95.45     0.17                             collision (d2q9-bgk.c:306 @ 402c35)
  0.17     95.62     0.17                             collision (d2q9-bgk.c:343 @ 4026a4)
  0.17     95.78     0.17                             collision (d2q9-bgk.c:344 @ 4026bc)
  0.13     95.91     0.13                             collision (d2q9-bgk.c:347 @ 4026ef)
  0.11     96.02     0.11                             av_velocity (d2q9-bgk.c:439 @ 402fb7)
  0.11     96.13     0.11                             collision (d2q9-bgk.c:312 @ 402384)
  0.10     96.23     0.10                             av_velocity (d2q9-bgk.c:429 @ 402f79)
  0.10     96.33     0.10                             collision (d2q9-bgk.c:306 @ 40234c)
  0.10     96.43     0.10                             collision (d2q9-bgk.c:365 @ 40295c)
  0.10     96.53     0.10                             collision (d2q9-bgk.c:359 @ 402857)
  0.09     96.62     0.09                             collision (d2q9-bgk.c:320 @ 40251e)
  0.08     96.70     0.08                             rebound (d2q9-bgk.c:285 @ 402263)
  0.08     96.77     0.08                             collision (d2q9-bgk.c:345 @ 4026d1)
  0.08     96.85     0.08                             collision (d2q9-bgk.c:342 @ 402697)
  0.08     96.92     0.08                             collision (d2q9-bgk.c:356 @ 4027d0)
  0.07     96.99     0.07                             collision (d2q9-bgk.c:353 @ 402718)
  0.07     97.06     0.07                             av_velocity (d2q9-bgk.c:424 @ 402e43)
  0.06     97.12     0.06                             rebound (d2q9-bgk.c:271 @ 4022c0)
  0.05     97.17     0.05                             rebound (d2q9-bgk.c:279 @ 402035)
  0.05     97.22     0.05                             rebound (d2q9-bgk.c:281 @ 4020ef)
  0.05     97.27     0.05                             rebound (d2q9-bgk.c:282 @ 40214c)
  0.05     97.32     0.05                             propagate (d2q9-bgk.c:240 @ 401bb2)
  0.03     97.35     0.03                             accelerate_flow (d2q9-bgk.c:222 @ 401934)
  0.03     97.38     0.03                             rebound (d2q9-bgk.c:283 @ 4021a9)
  0.03     97.41     0.03                             rebound (d2q9-bgk.c:284 @ 402206)
  0.02     97.43     0.02                             av_velocity (d2q9-bgk.c:432 @ 402f75)
  0.02     97.45     0.02                             collision (d2q9-bgk.c:369 @ 4029da)
  0.02     97.47     0.02                             rebound (d2q9-bgk.c:280 @ 402092)
  0.02     97.48     0.02                             av_velocity (d2q9-bgk.c:413 @ 402cc2)
  0.01     97.49     0.01                             accelerate_flow (d2q9-bgk.c:216 @ 40184b)
  0.01     97.50     0.01                             accelerate_flow (d2q9-bgk.c:217 @ 401874)
  0.01     97.51     0.01                             accelerate_flow (d2q9-bgk.c:223 @ 401995)
  0.01     97.52     0.01                             accelerate_flow (d2q9-bgk.c:224 @ 4019f6)
  0.01     97.53     0.01                             accelerate_flow (d2q9-bgk.c:226 @ 401a57)
  0.01     97.54     0.01                             accelerate_flow (d2q9-bgk.c:212 @ 401b7a)
  0.01     97.55     0.01                             av_velocity (d2q9-bgk.c:407 @ 402c8d)
  0.01     97.56     0.01                             propagate (d2q9-bgk.c:238 @ 401f67)
  0.01     97.57     0.01                             timestep (d2q9-bgk.c:199 @ 40179e)
  0.01     97.58     0.01                             collision (d2q9-bgk.c:304 @ 402340)
  0.01     97.58     0.01                             collision (d2q9-bgk.c:362 @ 4028de)
  0.00     97.58     0.00    40001     0.00     0.00  av_velocity (d2q9-bgk.c:397 @ 402c5c)
  0.00     97.58     0.00    40000     0.00     0.00  accelerate_flow (d2q9-bgk.c:204 @ 4017e3)
  0.00     97.58     0.00    40000     0.00     0.00  collision (d2q9-bgk.c:294 @ 4022e7)
  0.00     97.58     0.00    40000     0.00     0.00  propagate (d2q9-bgk.c:236 @ 401b91)
  0.00     97.58     0.00    40000     0.00     0.00  rebound (d2q9-bgk.c:267 @ 401f7e)
  0.00     97.58     0.00    40000     0.00     0.00  timestep (d2q9-bgk.c:195 @ 4016d9)
  0.00     97.58     0.00        1     0.00     0.00  calc_reynolds (d2q9-bgk.c:625 @ 4038a7)
  0.00     97.58     0.00        1     0.00     0.00  finalise (d2q9-bgk.c:604 @ 403817)
  0.00     97.58     0.00        1     0.00     0.00  initialise (d2q9-bgk.c:450 @ 402fef)
  0.00     97.58     0.00        1     0.00     0.00  write_values (d2q9-bgk.c:650 @ 4039d9)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2020 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.01% of 97.58 seconds

index % time    self  children    called     name
                0.00    0.00       1/40001       calc_reynolds (d2q9-bgk.c:628 @ 4038ed) [162]
                0.00    0.00   40000/40001       main (d2q9-bgk.c:161 @ 401439) [273]
[134]    0.0    0.00    0.00   40001         av_velocity (d2q9-bgk.c:397 @ 402c5c) [134]
-----------------------------------------------
                0.00    0.00   40000/40000       timestep (d2q9-bgk.c:196 @ 4016f2) [299]
[135]    0.0    0.00    0.00   40000         accelerate_flow (d2q9-bgk.c:204 @ 4017e3) [135]
-----------------------------------------------
                0.00    0.00   40000/40000       timestep (d2q9-bgk.c:199 @ 40179e) [131]
[136]    0.0    0.00    0.00   40000         collision (d2q9-bgk.c:294 @ 4022e7) [136]
-----------------------------------------------
                0.00    0.00   40000/40000       timestep (d2q9-bgk.c:197 @ 401729) [300]
[137]    0.0    0.00    0.00   40000         propagate (d2q9-bgk.c:236 @ 401b91) [137]
-----------------------------------------------
                0.00    0.00   40000/40000       timestep (d2q9-bgk.c:198 @ 401760) [301]
[138]    0.0    0.00    0.00   40000         rebound (d2q9-bgk.c:267 @ 401f7e) [138]
-----------------------------------------------
                0.00    0.00   40000/40000       main (d2q9-bgk.c:160 @ 4013e9) [272]
[139]    0.0    0.00    0.00   40000         timestep (d2q9-bgk.c:195 @ 4016d9) [139]
-----------------------------------------------
                0.00    0.00       1/1           main (d2q9-bgk.c:183 @ 40155d) [282]
[140]    0.0    0.00    0.00       1         calc_reynolds (d2q9-bgk.c:625 @ 4038a7) [140]
-----------------------------------------------
                0.00    0.00       1/1           main (d2q9-bgk.c:189 @ 4016a0) [288]
[141]    0.0    0.00    0.00       1         finalise (d2q9-bgk.c:604 @ 403817) [141]
-----------------------------------------------
                0.00    0.00       1/1           main (d2q9-bgk.c:151 @ 40134e) [267]
[142]    0.0    0.00    0.00       1         initialise (d2q9-bgk.c:450 @ 402fef) [142]
-----------------------------------------------
                0.00    0.00       1/1           main (d2q9-bgk.c:188 @ 401650) [287]
[143]    0.0    0.00    0.00       1         write_values (d2q9-bgk.c:650 @ 4039d9) [143]
-----------------------------------------------

 This table describes the call tree of the program, and was sorted by
 the total amount of time spent in each function and its children.

 Each entry in this table consists of several lines.  The line with the
 index number at the left hand margin lists the current function.
 The lines above it list the functions that called this function,
 and the lines below it list the functions this one called.
 This line lists:
     index	A unique number given to each element of the table.
		Index numbers are sorted numerically.
		The index number is printed next to every function name so
		it is easier to look up where the function is in the table.

     % time	This is the percentage of the `total' time that was spent
		in this function and its children.  Note that due to
		different viewpoints, functions excluded by options, etc,
		these numbers will NOT add up to 100%.

     self	This is the total amount of time spent in this function.

     children	This is the total amount of time propagated into this
		function by its children.

     called	This is the number of times the function was called.
		If the function called itself recursively, the number
		only includes non-recursive calls, and is followed by
		a `+' and the number of recursive calls.

